record_id,category,condition,question,answer,common_symptoms,possible_cause_or_context,general_supportive_care,when_to_seek_medical_care,source_type,medical_safety_note
1,Respiratory,Common Cold,What are the common symptoms of Common Cold?,"Common symptoms can include cough, runny nose, sneezing, sore throat. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
2,Respiratory,Common Cold,What can cause Common Cold?,A common underlying explanation is Viral upper-respiratory infection. A healthcare professional can assess the individual situation and rule out other causes.,"cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
3,Respiratory,Common Cold,What should I do if I think I have Common Cold?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Rest, fluids, and symptom relief may help.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
4,Respiratory,Common Cold,How can I reduce the risk of Common Cold?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
5,Respiratory,Common Cold,When should I see a doctor for Common Cold?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
6,Respiratory,Common Cold,Is Common Cold always serious?,"Not necessarily. Severity varies widely. The safest approach is to consider the person's symptoms, age, medical history, and warning signs and seek professional assessment when needed.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
7,Respiratory,Common Cold,Can Common Cold be prevented?,"Some cases or complications may be preventable, while others are not fully preventable. Helpful measures can include Rest, fluids, and symptom relief may help and addressing known risk factors.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
8,Respiratory,Common Cold,What lifestyle habits may help with Common Cold?,"Helpful general habits may include adequate sleep, balanced nutrition, appropriate physical activity, hydration, avoiding tobacco, and following individualized medical advice.","cough, runny nose, sneezing, sore throat",Viral upper-respiratory infection,"Rest, fluids, and symptom relief may help","Seek care for breathing difficulty, severe symptoms, or symptoms that persist/worsen",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
9,Respiratory,Influenza,What are the common symptoms of Influenza?,"Common symptoms can include fever, chills, cough, body aches, fatigue. Symptoms vary between people, so they should not be used alone to confirm a diagnosis.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
10,Respiratory,Influenza,What can cause Influenza?,A common underlying explanation is Influenza virus infection. A healthcare professional can assess the individual situation and rule out other causes.,"fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
11,Respiratory,Influenza,What should I do if I think I have Influenza?,"Consider contacting a healthcare professional for assessment, especially if symptoms are new, severe, persistent, or worsening. General supportive steps may include Rest, fluids, and medical advice when appropriate.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
12,Respiratory,Influenza,How can I reduce the risk of Influenza?,"Risk reduction depends on the condition. General measures may include healthy habits, appropriate vaccination where relevant, hygiene, avoiding known triggers, and following professional advice.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
13,Respiratory,Influenza,When should I see a doctor for Influenza?,"Medical assessment is especially important when symptoms are severe, persistent, worsening, or associated with warning signs. For this condition, important warning signs include: Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration.","fever, chills, cough, body aches, fatigue",Influenza virus infection,"Rest, fluids, and medical advice when appropriate","Seek urgent care for breathing difficulty, chest pain, confusion, or severe dehydration",Synthetic educational record,Educational information only; not a diagnosis or a substitute for professional medical care.
